Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
RG Residency,"Sector 120, Noida",18000000,10095,"1,783 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Prime Properties,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rg-residency-sector-120-noida-1783-sq-ft-spid-S79720137,N/A,page_100.html
Jaypee Greens Knights Court,"Sector 128, Noida",28500000,11529,"2,472 sqft",3 BHK,Ready To Move,N/A,Real Propmart,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-knights-court-sector-128-noida-2472-sq-ft-spid-N80669957,N/A,page_100.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",42500000,16190,"2,625 sqft",3 BHK,Ready To Move,Dealer·1mo ago,LandMark Reality,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-2625-sq-ft-spid-V79939979,N/A,page_100.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",57000000,16101,"3,540 sqft",4 BHK,Ready To Move,Dealer·1mo ago,LandMark Reality,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-3540-sq-ft-spid-O79915423,N/A,page_100.html
ATS Pious Hideaways,"Sector 150, Noida",19500000,11641,"1,675 sqft",3 BHK,Ready To Move,N/A,Metro realty estate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1675-sq-ft-spid-K79556935,N/A,page_100.html
TGB Meghdutam,"Sector 50, Noida",57500000,17164,"3,350 sqft",4 BHK,Ready To Move,N/A,Punjab Associates,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tgb-meghdutam-sector-50-noida-3350-sq-ft-spid-U80471169,N/A,page_100.html
Apex Athena,"Sector 75, Noida",36000000,13211,"2,725 sqft",4 BHK,Ready To Move,Dealer·3w ago,Arjun Verma,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-apex-athena-sector-75-noida-2725-sq-ft-spid-S80293797,N/A,page_100.html
JM Orchid,"Sector 76, Noida",12500000,10897,"1,147 sqft",2 BHK,Ready To Move,Dealer·1mo ago,SNJ REALTY INTERNATIONAL PVT LTD,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jm-orchid-sector-76-noida-1147-sq-ft-spid-J80192037,N/A,page_100.html
India Gate Apartment,"Sector 29, Noida",35000000,17500,"2,000 sqft",3 BHK,Ready To Move,Dealer·2mo ago,Dadwal Properties,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-india-gate-apartment-sector-29-noida-2000-sq-ft-spid-E79552913,N/A,page_100.html
Gulshan Vivante,"Sector 137, Noida",19000000,12179,"1,560 sqft",3 BHK,Ready To Move,N/A,Grow Infinity Realtors,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-vivante-sector-137-noida-1560-sq-ft-spid-H80166759,N/A,page_100.html
Gulshan Dynasty,"Sector 144, Noida",89900000,19127,"4,700 sqft",4 BHK,Ready To Move,N/A,NOIDA LUXURY,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-gulshan-dynasty-sector-144-noida-4700-sq-ft-spid-O80690189,N/A,page_100.html
Jaypee Aman,"Sector 151, Noida",9850000,6793,"1,450 sqft",3 BHK,Ready To Move,Dealer·1mo ago,KGP Realtors,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-aman-sector-151-noida-1450-sq-ft-spid-Q80048171,N/A,page_100.html
Ivy County,"Sector 75, Noida",45000000,17921,"2,511 sqft",4 BHK,Ready To Move,N/A,Growmore Realtors,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ivy-county-sector-75-noida-2511-sq-ft-r7-spid-R71969822,N/A,page_11.html
Ivy County,"Sector 75, Noida",35500000,17184,"2,124 sqft",3 BHK,Ready To Move,Dealer·3d ago,Add Wealth Realtors,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ivy-county-sector-75-noida-2124-sq-ft-spid-P80792307,N/A,page_11.html
Jaypee Greens Kensington Park Apartments,"Sector 133, Noida",9200000,8310,"1,107 sqft",2 BHK,Ready To Move,Dealer·1w ago,The Prop Care,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kensington-park-apartments-sector-133-noida-1107-sq-ft-spid-J80663473,N/A,page_11.html
Jaypee Greens Kensington Park Apartments,"Sector 133, Noida",9171000,8284,"1,107 sqft",2 BHK,Ready To Move,Dealer·1w ago,The Prop Care,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kensington-park-apartments-sector-133-noida-1107-sq-ft-spid-L80664279,N/A,page_11.html
Paras Tierea,"Sector 137, Noida",12000000,6956,"1,725 sqft",3 BHK,Ready To Move,N/A,clients Homes,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-tierea-sector-137-noida-1725-sq-ft-r5-spid-P74155723,N/A,page_11.html
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_11.html
ATS Pious Hideaways,"Sector 150, Noida",20500000,12238,"1,675 sqft",3 BHK,Ready To Move,Dealer·4w ago,Inder Associates,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1675-sq-ft-spid-Y80100563,N/A,page_11.html
Paras Tierea,"Sector 137, Noida",8300000,7757,"1,070 sqft",2 BHK,Ready To Move,N/A,clients Homes,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paras-tierea-sector-137-noida-1070-sq-ft-spid-V80106887,N/A,page_11.html
Sunworld Vanalika,"Sector 107, Noida",41000000,12058,"3,400 sqft",4 BHK,Ready To Move,Dealer·2w ago,GSNEGI REALTY AND FINANCE SOLUTIONS,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sunworld-vanalika-sector-107-noida-3400-sq-ft-r14-spid-C34502955,N/A,page_11.html
French Apartments,Noida Extension,11600000,7950,"1,459 sqft",3 BHK,Ready To Move,Dealer·1mo ago,HARE KRISHNA PROPERTY,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-french-apartments-noida-extension-noida-1459-sq-ft-spid-Y79652071,N/A,page_11.html
ATS Le Grandiose,"Sector 150, Noida",27599999,11744,"2,350 sqft",3 BHK,Ready To Move,Dealer·3w ago,Capital Wizard,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-le-grandiose-sector-150-noida-2350-sq-ft-spid-H80012559,N/A,page_11.html
Purvanchal Silver City,"Sector 93, Noida",20000000,14134,"1,415 sqft",3 BHK,Ready To Move,Dealer·1mo ago,N.s.properties,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-purvanchal-silver-city-sector-93-noida-1415-sq-ft-spid-W80135023,N/A,page_11.html
Mahagun Mezzaria,"Sector 78, Noida",38000000,21714,"2,500 sqft",3 BHK,Ready To Move,N/A,Luxury Homes,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahagun-mezzaria-sector-78-noida-2500-sq-ft-spid-C80365261,N/A,page_11.html
